metric,value
total_questions,106.0
unique_organizations,2.0
unique_countries,2.0
mean_agreement,49.275510204081634
median_agreement,46.0
min_agreement,8.0
max_agreement,94.0
count_ai_knowledge,31.0
count_ai_sentiment,19.0
count_ai_risk_concern,19.0
count_ai_regulation,26.0
count_other,9.0
count_extinction_risk,2.0
